동별,인구수(계),인구수(남),인구수(여),세대수,데이터기준일자
부평1동,35141,16835,18306,16861,2024-02-14
부평2동,14702,7289,7413,7312,2024-02-14
부평3동,14991,7448,7543,7386,2024-02-14
부평4동,34784,17137,17647,18158,2024-02-14
부평5동,33656,16535,17121,16456,2024-02-14
부평6동,14772,7304,7468,7322,2024-02-14
산곡1동,14871,7322,7549,6531,2024-02-14
산곡2동,29736,14572,15164,10764,2024-02-14
산곡3동,20651,9997,10654,8631,2024-02-14
산곡4동,16720,7979,8741,6541,2024-02-14
청천1동,11824,6101,5723,5508,2024-02-14
청천2동,33812,16820,16992,14474,2024-02-14
갈산1동,15525,7898,7627,7181,2024-02-14
갈산2동,17685,8561,9124,8099,2024-02-14
삼산1동,32800,16045,16755,14297,2024-02-14
삼산2동,27767,13378,14389,10215,2024-02-14
부개1동,15928,7995,7933,7864,2024-02-14
부개2동,19183,9344,9839,8325,2024-02-14
부개3동,28713,13731,14982,12130,2024-02-14
일신동,11798,5989,5809,5055,2024-02-14
십정1동,24533,12323,12210,11283,2024-02-14
십정2동,21307,11103,10204,11181,2024-02-14
,,,,,
