,번호,지점명,연락처,주소,영업시간
0,86,"울산중구점,9월4일(수) 그랜드오픈!",052-710-4788,"울산광역시 중구 번영로 475, 홈플러스 울산점 2층","영업시간 : 11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
1,85,"시흥배곧점,8월30일(금) 그랜드오픈!",031-432-6274,"경기도 시흥시 서울대학로264번길 26-18,1동 4층전체(배곧동,해든트윈스오피스텔)","11:00~22:00 (음식 마감 오후 8시반, 매장별 상이)"
2,84,골드☆구로점,02-2066-6274,서울 구로구 중앙로1길36. 3동 7층,"11:00~22:00 (음식 마감 오후 8시반, 매장별 상이)"
3,83,마석점,031-592-9961,경기도 남양주시 화도읍 마석로 84,"11:00~21:30 (음식 마감 오후 8시30분, 매장별 상이)"
4,82,해운대점,051-715-5599,"부산광역시 해운대구 해운대로 802,601,602호(좌동,웅신시네아트)","11:00~22:00 (음식 마감 오후 8시반, 매장별 상이)"
5,81,수원병점점,031 236  3110,"경기도 화성시 병점노을7로 5,5층 전체,401,402,403호(진안동,테라스엠상가)","11:00~22:00 (음식 마감 오후 8시30분, 매장별 상이)"
6,80,청주점,043-716-2977,"충청북도 청주시 흥덕구 풍산로 15, 2층(가경동,대우메가폴리스)","11:00~21:20 (음식 마감 오후 8시30분, 매장별 상이)"
7,79,목포북항점,(061)272  - 9595,"전라남도 목포시 청호로219번길 34-15,3층","11:00~21:30 (음식 마감 오후 8시30분, 매장별 상이)"
8,78,수성못점,053-262-7773,"대구 수성구 용학로 106-7,5동 1층 134호(두산동,수성 스퀘어)","11:00~21:20 (음식 마감 오후 8시, 매장별 상이)"
9,77,창원점,055-600-5533,"경상남도 창원시 성산구 원이대로 320 W동 2층 (대원동,더시티세븐)","11:00~22:00 (음식 마감 오후 8시30분, 매장별 상이)"
10,76,양주옥정점,031-866-6274,"경기도 양주시 옥정로8길 40,5층","11:00~22:00 (음식 마감 오후 8시, 매장별 상이)"
11,75,인천청라점,032-561-8628,인천 서구 크리스탈로74번길 17 2층,"11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
12,74,검단신도시점,032-567-9006,인천 서구 발산로5번길 12 엔젤리움1차 원팰리스 4층,"11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
13,73,골드☆강동점,02-484-6274,서울특별시 강동구 양재대로 1571 홈플러스 B1호(천호동),"11:00~21:30 (음식 마감 오후 8시반, 매장별 상이)"
14,72,노원점,02-975-1172,"서울특별시 노원구 노원로 247, 6층 601호(하계동,서울온천)","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
15,71,원주무실점,033-747-6274,"강원특별자치도 원주시 능라동길 61 ,10층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
16,70,파주운정점,031-942-9419,"경기 파주시 와석순환로 507 월드타워 9차, 3층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
17,69,오산점,031-376-6274,"경기도 오산시 성호대로 122, 메디칼프라자 5층","11:00 ~ 21:50 (음식마감 오후8시30분,매장별 상이)"
18,68,대구서구점,053-267-7773,대구광역시 서구 와룡로 307,"11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
19,67,송산그린시티점,031-356-6273,경기도 화성시 새솔동 78-3 엔터타워2차 7층(꽃내음1길 5-20),"11:00~21:30 (음식 마감 오후 8시30분, 매장별 상이)"
20,66,인천논현점,032-433-6274,"인천광역시 남동구 논고개로 101 아름다운타워, 12층",11:00 ~ 22:00 (음식마감시간 매장별 상이)
21,65,대전동구점,042-273-9995,대전 동구 은어송로 72  패션아일랜드 3층,"11:00~21:00 (음식 마감 오후 8시, 매장별 상이)"
22,64,부산명지점,051-208-9909,"부산광역시 강서구 명지오션시티11로 66 , 10층 (명지동 ,지 타워)","11:00~21:30 (음식 마감 오후8시30분, 매장별 상이)"
23,63,논산점,041-732-1162,충청남도 논산시 등화동 56,"11:00 ~21:00 (음식 마감  20:30 , 매장별상이) )"
24,62,여수점,061-682-6274,"전남 여수시 예울마루로 37-26, 2층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
25,61,익산점,063-917-5550,"전북 익산시 선화로 77, 3층","11:00~21:30 (음식 마감 오후 9시, 매장별 상이)"
26,60,은계점,031-317-6274,경기 시흥시 은계번영길 23 은계타운 6층,"11:00~21:30 (음식 마감 오후 8시20분, 매장별 상이)"
27,59,골드☆경성대점,051-622-6274,"부산광역시 남구 수영로 305, 3층","평일 11:00~21:30, 주말/공휴일 11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
28,58,진주점,055-761-6275,"경상남도 진주시 에나로 100, 3층","11:00~21:30 (음식 마감 오후 8시30분, 매장별 상이)"
29,57,광복점,051-992-6274,"부산광역시 중구 남포동2가 22-1, 3층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
30,56,통영점,055-648-6274,경상남도 통영시 광도면 죽림5로 55-9,"11:00~21:30 (음식 마감 오후 8시, 매장별 상이)"
31,55,주안역점,032-425-5552,인천광역시 미추홀구 주안로 116 리가스퀘어 2층,"11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
32,54,마산점,055-298-6274,경상남도 창원시 마산회원구 용마로 130,"11:00~21:30 (음식 마감 오후 9시, 매장별 상이)"
33,53,부평점,032-361-4057,"인천광역시 부평구 부흥로 264 (동아웰빙타운), 9층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
34,52,천안불당점,041-566-0308,충청남도 천안시 서북구 검은들3길 46 미래시티빌딩 7층,"11:00~21:30 (음식 마감 오후 9시, 매장별 상이)"
35,51,김포운양점,031-987-6274,"경기 김포시 김포한강1로 250, 골든타임 9층","11:00~21:50 (음식 마감 오후 8시30분, 매장별 상이)"
36,50,원주혁신점,033-743-6274,"강원도 원주시 황금로 34, 3층","11:30~21:30 (음식 마감 오후 9시, 매장별 상이)  평일 : 브레이크 타임 15:30~17:00"
37,49,홍성내포점,041-633-3353,"충남 홍성군 홍북읍 청사로174번길 2, 3층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
38,48,용인점,031-322-6274,경기도 용인시 처인구 명지로40번길 9,"11:20~21:30 (음식 마감 오후 8시, 매장별 상이)"
