"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","인천광역시 부평구 부개동","512","0512","0000","부개역푸르지오","전세","84.9780","202312","31","49,500","0","12","2010","부일로 69","-","갱신","사용","53,000","0","아파트"
"2","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","전세","52.4300","202312","31","15,000","0","11","1986","부평문화로 37","202402~202602","-","-","","","아파트"
"3","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","전세","39.4800","202312","31","14,000","0","10","1989","충선로 191","202404~202604","신규","-","","","아파트"
"4","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","월세","50.1550","202312","31","2,000","65","15","1989","부영로 196","202402~202602","신규","-","","","아파트"
"5","인천광역시 부평구 부평동","947","0947","0000","래미안부평","전세","59.9230","202312","30","30,000","0","6","2014","길주남로10번길 21","202402~202602","신규","-","","","아파트"
"6","인천광역시 부평구 부평동","956","0956","0000","부평역한라비발디트레비앙","전세","84.4470","202312","30","39,000","0","14","2022","동수북로 188","202403~202603","신규","-","","","아파트"
"7","인천광역시 부평구 부개동","496-2","0496","0002","부개주공1","전세","49.9600","202312","30","19,000","0","3","1996","길주남로 143","202401~202601","신규","-","","","아파트"
"8","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","전세","59.9800","202312","30","18,500","0","14","1996","길주남로 144","202401~202601","신규","-","","","아파트"
"9","인천광역시 부평구 부개동","477","0477","0000","욱일","월세","51.0100","202312","30","2,000","55","6","1988","장제로 234","202401~202601","신규","-","","","아파트"
"10","인천광역시 부평구 부개동","502-8","0502","0008","부개주공7단지","전세","59.8000","202312","30","20,000","0","9","1998","동수천로 118","202402~202602","신규","-","","","아파트"
"11","인천광역시 부평구 산곡동","124-1","0124","0001","현대(124-1)","월세","84.9900","202312","30","5,000","85","14","1993","안남로 260","202402~202602","신규","-","","","아파트"
"12","인천광역시 부평구 산곡동","311-126","0311","0126","현대2차","전세","84.9600","202312","30","25,000","0","12","1989","안남로 91","202401~202601","갱신","사용","30,000","0","아파트"
"13","인천광역시 부평구 산곡동","307","0307","0000","현대1차","월세","72.4800","202312","30","1,000","65","1","1986","경원대로 1269","202402~202602","신규","-","","","아파트"
"14","인천광역시 부평구 산곡동","124-23","0124","0023","한화1단지","전세","59.8800","202312","30","19,000","0","16","1997","원적로 361","202402~202602","신규","-","","","아파트"
"15","인천광역시 부평구 산곡동","180-329","0180","0329","재원","월세","65.7900","202312","30","3,000","45","2","1984","원적로 276","202401~202601","신규","-","","","아파트"
"16","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","전세","52.4300","202312","30","16,500","0","11","1988","부평문화로 37","202402~202602","신규","-","","","아파트"
"17","인천광역시 부평구 산곡동","233-26","0233","0026","태화프리상뜨","전세","59.8856","202312","30","19,000","0","14","2004","마장로220번길 65","202402~202602","신규","-","","","아파트"
