"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","인천광역시 부평구 청천동","236","0236","0000","대진","월세","62.5500","202212","31","1,000","65","5","1985","원길로 12","202302~202502","신규","-","","","아파트"
"2","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","전세","84.9800","202212","31","30,000","0","21","2005","수변로 333","202301~202501","신규","-","","","아파트"
"3","인천광역시 부평구 부평동","956","0956","0000","부평역한라비발디트레비앙","전세","59.8250","202212","31","24,500","0","25","2022","동수북로 188","202302~202502","신규","-","","","아파트"
"4","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","월세","59.9750","202212","31","5,000","100","10","2022","동수천로 71","202301~202501","신규","-","","","아파트"
"5","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","전세","59.9750","202212","31","22,000","0","17","2022","동수천로 71","202301~202501","신규","-","","","아파트"
"6","인천광역시 부평구 삼산동","513","0513","0000","서해그랑블","월세","84.9700","202212","31","13,000","30","15","2011","영성동로18번길 20","-","-","-","","","아파트"
"7","인천광역시 부평구 삼산동","388-7","0388","0007","삼산주공미래타운2차","전세","49.4000","202212","31","16,000","0","5","2000","부평북로 432","202302~202502","신규","-","","","아파트"
"8","인천광역시 부평구 삼산동","454-13","0454","0013","삼산타운6단지","전세","84.9600","202212","31","33,000","0","17","2004","체육관로 57","202302~202502","신규","-","","","아파트"
"9","인천광역시 부평구 삼산동","359","0359","0000","광명12차","월세","61.2900","202212","31","1,000","60","2","1990","후정동로 63","202302~202502","신규","-","","","아파트"
"10","인천광역시 부평구 삼산동","389-8","0389","0008","삼산주공미래타운4차","전세","49.5700","202212","31","16,000","0","10","2000","영성중로 57","202303~202503","신규","-","","","아파트"
