Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Artificial intelligence in Internet of things,"Ghosh, Ashish; Chakraborty, Debasrita; Law, Anwesha",IEEE,2018
,2,Artificial intelligence for monitoring and supervisory control of process systems,"Uraikul, V.; Chan, C. W.; Tontiwachwuthikul, P.","Elsevier Science B.V., Amsterdam.",2007
,3,Artificial Intelligence Enabled Internet of Things: Network Architecture and Spectrum Access,"Song, Hao; Bai, Jianan; Yi, Yang; Wu, Jinsong; Liu, Lingjia",INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2020
,4,Artificial Intelligence Evolved from Random Behaviour: Departure from the State of the Art,"Pietruszkiewicz, W.; Imada, A.",Springer Science,2013
,5,Artificial Intelligence Methods in Early Childhood Education,"Prentzas, J.",Springer Science,2013
,6,"Collective Intelligence of the Artificial Life Community on Its Own Successes, Failures, and Future","Rasmussen, S.; Raven, M. J.; Keating, G. N.; Bedau, M. A.",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2003
,7,"Artificial Intelligence, Autonomous Systems and Robotics: Legal Innovations","Rault,  Raphaël; Trentesaux,  Damien",Springer Verlag,2018
,8,Realization of artificial intelligence for integrative electroencephalogram interpretation,"Nakamura, M.",SPRINGER,1998
,9,Artificial intelligence for management and control of pollution minimization and mitigation processes,"Chan, C. W.; Huang, G. H.","Elsevier Science B.V., Amsterdam.",2003
,10,"Artificial intelligence and the future of warfare: the USA, China, and strategic stability","Grzegorzewski, Mark",Taylor & Francis,2023
,11,Artificial intelligence techniques in product engineering,"Yan Chan, Kit; Fung Yuen, Kevin Kam; Palade, Vasile; Yue, Yong","Elsevier Science B.V., Amsterdam.",2016
,12,Artificial Intelligence as a Strategic Partner to HRM 4.0,"Agarwal, Shivani",Springer Nature,2023
,13,Artificial intelligence in project management: systematic literature review,"Bento, Sofia",Inderscience,2022
,14,Artificial intelligence in industrial design: A semi-automated literature survey,"Tsang, Y.P.","Elsevier Science B.V., Amsterdam.",2022
,15,Artificial intelligence in prognostics and health management of engineering systems,"Ochella, Sunday; Shafiee, Mahmood; Dinmohammadi, Fateme","Elsevier Science B.V., Amsterdam.",2022
